"filename", "language", "JSON", "Markdown", "YAML", "JavaScript", "Python", "pip requirements", "XML", "Vue", "CSS", "SCSS", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\LLMProjects\Kura-AI\app\chat\storage.py", "Python", 0, 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 48, 34, 438
"d:\LLMProjects\Kura-AI\app\chat\tools.py", "Python", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 29, 127
"d:\LLMProjects\Kura-AI\app\controllers\__init__.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\LLMProjects\Kura-AI\app\controllers\api.py", "Python", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 9, 46
"d:\LLMProjects\Kura-AI\app\controllers\dept.py", "Python", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 11, 14, 87
"d:\LLMProjects\Kura-AI\app\controllers\menu.py", "Python", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\LLMProjects\Kura-AI\app\controllers\role.py", "Python", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"d:\LLMProjects\Kura-AI\app\controllers\user.py", "Python", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 20, 120
"d:\LLMProjects\Kura-AI\app\controllers\user_agent.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"d:\LLMProjects\Kura-AI\app\controllers\user_agent_recent.py", "Python", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55
"d:\LLMProjects\Kura-AI\app\core\bgtask.py", "Python", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\LLMProjects\Kura-AI\app\core\crud.py", "Python", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"d:\LLMProjects\Kura-AI\app\core\ctx.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\LLMProjects\Kura-AI\app\core\dependency.py", "Python", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 3, 9, 61
"d:\LLMProjects\Kura-AI\app\core\exceptions.py", "Python", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 13, 44
"d:\LLMProjects\Kura-AI\app\core\init_app.py", "Python", 0, 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 6, 37, 344
"d:\LLMProjects\Kura-AI\app\core\middlewares.py", "Python", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 9, 35, 204
"d:\LLMProjects\Kura-AI\app\kb\__init__.py", "Python", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\LLMProjects\Kura-AI\app\kb\embedding.py", "Python", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 14, 150
"d:\LLMProjects\Kura-AI\app\kb\image_search_tool.py", "Python", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 19, 144
"d:\LLMProjects\Kura-AI\app\kb\image_store.py", "Python", 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 13, 37, 346
"d:\LLMProjects\Kura-AI\app\kb\kb_document_preselect.py", "Python", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 3, 23, 153
"d:\LLMProjects\Kura-AI\app\kb\kb_preselect_context.py", "Python", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 21, 108
"d:\LLMProjects\Kura-AI\app\kb\kb_scope.py", "Python", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\LLMProjects\Kura-AI\app\kb\kb_service.py", "Python", 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 20, 32, 272
"d:\LLMProjects\Kura-AI\app\kb\kb_tool_formatting.py", "Python", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 21, 120
"d:\LLMProjects\Kura-AI\app\kb\milvus_client.py", "Python", 0, 0, 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 6, 36, 514
"d:\LLMProjects\Kura-AI\app\kb\multimodal_document_loader.py", "Python", 0, 0, 0, 0, 648, 0, 0, 0, 0, 0, 0, 0, 74, 93, 815
"d:\LLMProjects\Kura-AI\app\kb\multimodal_embedding.py", "Python", 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 25, 56, 356
"d:\LLMProjects\Kura-AI\app\kb\multimodal_milvus_writer.py", "Python", 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 16, 24, 168
"d:\LLMProjects\Kura-AI\app\kb\parent_chunk_store.py", "Python", 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 26, 11, 187
"d:\LLMProjects\Kura-AI\app\kb\rag_image_pipeline.py", "Python", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 21, 156
"d:\LLMProjects\Kura-AI\app\kb\rag_pipeline.py", "Python", 0, 0, 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 17, 53, 542
"d:\LLMProjects\Kura-AI\app\kb\rag_utils.py", "Python", 0, 0, 0, 0, 691, 0, 0, 0, 0, 0, 0, 0, 34, 66, 791
"d:\LLMProjects\Kura-AI\app\kb\search_tool.py", "Python", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 19, 108
"d:\LLMProjects\Kura-AI\app\log\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\app\log\log.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 9, 26
"d:\LLMProjects\Kura-AI\app\models\__init__.py", "Python", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\LLMProjects\Kura-AI\app\models\admin.py", "Python", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 22, 91
"d:\LLMProjects\Kura-AI\app\models\base.py", "Python", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 17, 63
"d:\LLMProjects\Kura-AI\app\models\enums.py", "Python", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"d:\LLMProjects\Kura-AI\app\models\user_agent.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\LLMProjects\Kura-AI\app\models\user_agent_recent.py", "Python", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"d:\LLMProjects\Kura-AI\app\schemas\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\app\schemas\agent_chat.py", "Python", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 25, 151
"d:\LLMProjects\Kura-AI\app\schemas\apis.py", "Python", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"d:\LLMProjects\Kura-AI\app\schemas\base.py", "Python", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"d:\LLMProjects\Kura-AI\app\schemas\depts.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"d:\LLMProjects\Kura-AI\app\schemas\kb.py", "Python", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
"d:\LLMProjects\Kura-AI\app\schemas\login.py", "Python", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 12, 46
"d:\LLMProjects\Kura-AI\app\schemas\menus.py", "Python", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"d:\LLMProjects\Kura-AI\app\schemas\roles.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"d:\LLMProjects\Kura-AI\app\schemas\user_agent.py", "Python", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"d:\LLMProjects\Kura-AI\app\schemas\users.py", "Python", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"d:\LLMProjects\Kura-AI\app\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\LLMProjects\Kura-AI\app\services\agent_api_key.py", "Python", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 12, 50
"d:\LLMProjects\Kura-AI\app\settings\__init__.py", "Python", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\LLMProjects\Kura-AI\app\settings\config.py", "Python", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 87, 17, 221
"d:\LLMProjects\Kura-AI\app\utils\api_key_crypto.py", "Python", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 13, 37
"d:\LLMProjects\Kura-AI\app\utils\auth_rate_limit.py", "Python", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"d:\LLMProjects\Kura-AI\app\utils\avatar.py", "Python", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27
"d:\LLMProjects\Kura-AI\app\utils\jwt_utils.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\LLMProjects\Kura-AI\app\utils\password.py", "Python", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 12, 52
"d:\LLMProjects\Kura-AI\app\utils\user_agent_avatar.py", "Python", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 15, 61
"d:\LLMProjects\Kura-AI\deploy\sample-picture\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\docker-compose.yml", "YAML", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 108
"d:\LLMProjects\Kura-AI\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 331
"d:\LLMProjects\Kura-AI\run.py", "Python", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\LLMProjects\Kura-AI\web\.eslint-global-variables.json", "JSON", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"d:\LLMProjects\Kura-AI\web\.prettierrc.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\LLMProjects\Kura-AI\web\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\LLMProjects\Kura-AI\web\build\config\define.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 14
"d:\LLMProjects\Kura-AI\web\build\config\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\web\build\constant.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 24
"d:\LLMProjects\Kura-AI\web\build\plugin\html.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\LLMProjects\Kura-AI\web\build\plugin\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 36
"d:\LLMProjects\Kura-AI\web\build\plugin\unplugin.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 47
"d:\LLMProjects\Kura-AI\web\build\script\build-cname.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\LLMProjects\Kura-AI\web\build\script\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\LLMProjects\Kura-AI\web\build\utils.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 71
"d:\LLMProjects\Kura-AI\web\i18n\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\LLMProjects\Kura-AI\web\i18n\messages\cn.json", "JSON", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200
"d:\LLMProjects\Kura-AI\web\i18n\messages\en.json", "JSON", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200
"d:\LLMProjects\Kura-AI\web\i18n\messages\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\LLMProjects\Kura-AI\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 3, 36
"d:\LLMProjects\Kura-AI\web\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"d:\LLMProjects\Kura-AI\web\package.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 64
"d:\LLMProjects\Kura-AI\web\pnpm-lock.yaml", "YAML", 0, 0, 4332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1286, 5618
"d:\LLMProjects\Kura-AI\web\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\web\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\web\public\resource\loading.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 10, 92
"d:\LLMProjects\Kura-AI\web\public\resource\loading.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26
"d:\LLMProjects\Kura-AI\web\settings\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\web\settings\theme.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"d:\LLMProjects\Kura-AI\web\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\LLMProjects\Kura-AI\web\src\api\index.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 110
"d:\LLMProjects\Kura-AI\web\src\assets\js\icons.js", "JavaScript", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 231
"d:\LLMProjects\Kura-AI\web\src\assets\svg\agent.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\LLMProjects\Kura-AI\web\src\assets\svg\forbidden.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\LLMProjects\Kura-AI\web\src\assets\svg\front-page.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\web\src\assets\svg\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\web\src\assets\svg\network-error.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\LLMProjects\Kura-AI\web\src\assets\svg\no-data.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\LLMProjects\Kura-AI\web\src\assets\svg\not-found.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\LLMProjects\Kura-AI\web\src\assets\svg\server-error.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\LLMProjects\Kura-AI\web\src\assets\svg\service-unavailable.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\LLMProjects\Kura-AI\web\src\assets\svg\unauthorized.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\LLMProjects\Kura-AI\web\src\components\common\AppFooter.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\LLMProjects\Kura-AI\web\src\components\common\AppProvider.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 7, 68
"d:\LLMProjects\Kura-AI\web\src\components\common\LoadingEmptyWrapper.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 3, 13, 83
"d:\LLMProjects\Kura-AI\web\src\components\common\ScrollX.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 8, 20, 161
"d:\LLMProjects\Kura-AI\web\src\components\icon\CustomIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 2, 23
"d:\LLMProjects\Kura-AI\web\src\components\icon\IconPicker.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 8, 71
"d:\LLMProjects\Kura-AI\web\src\components\icon\SvgIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"d:\LLMProjects\Kura-AI\web\src\components\icon\TheIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\LLMProjects\Kura-AI\web\src\components\page\AppPage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 2, 30
"d:\LLMProjects\Kura-AI\web\src\components\page\CommonPage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 34
"d:\LLMProjects\Kura-AI\web\src\components\query-bar\QueryBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"d:\LLMProjects\Kura-AI\web\src\components\query-bar\QueryBarItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"d:\LLMProjects\Kura-AI\web\src\components\table\CrudModal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"d:\LLMProjects\Kura-AI\web\src\components\table\CrudTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 15, 6, 152
"d:\LLMProjects\Kura-AI\web\src\composables\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\web\src\composables\useCRUD.js", "JavaScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 105
"d:\LLMProjects\Kura-AI\web\src\directives\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"d:\LLMProjects\Kura-AI\web\src\directives\permission.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"d:\LLMProjects\Kura-AI\web\src\layout\AgentEditorLayout.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 1, 5, 72
"d:\LLMProjects\Kura-AI\web\src\layout\components\AppMain.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"d:\LLMProjects\Kura-AI\web\src\layout\components\header\components\AgentChatTitle.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 490, 0, 0, 0, 0, 1, 68, 559
"d:\LLMProjects\Kura-AI\web\src\layout\components\header\components\FullScreen.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\LLMProjects\Kura-AI\web\src\layout\components\header\components\MenuCollapse.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
